;SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA PETROBRAS PRÉ-SAL;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES - PETROBRAS 2010;ITAÚ AÇÕES PETROBRÁS - FUNDO DE INVESTIMENTO;SANTANDER FI PETROBRÁS AÇÕES;BB AÇÕES PETROBRAS FUNDO DE INVESTIMENTO;BB AÇÕES PETROBRAS I FUNDO DE INVESTIMENTO;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS;BRADESCO H FUNDO DE INVESTIMENTO AÇÕES PETROBRAS;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA PETROBRAS;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA PETROBRAS PLUS;SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO PETROBRÁS 2 AÇÕES;CAIXA FUNDO DE INVESTIMENTO EM AÇÕES BANCO DO BRASIL PLUS;BB AÇÕES BB FUNDO DE INVESTIMENTO;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES CIELO;ITAÚ AÇÕES PETROBRAS I - FUNDO DE INVESTIMENTO;BB AÇÕES CIELO FUNDO DE INVESTIMENTO;BB AÇÕES BB SEGURIDADE FUNDO DE INVESTIMENTO EM AÇÕES;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA SEGURIDADE;MB FUNDO DE INVESTIMENTO EM AÇÕES INSTITUIÇÕES FINANCEIRAS;ORGANON FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;TARPON GT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;ALASKA BLACK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES II - BDR NÍVEL I;ALASKA BLACK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I;CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES;ITAÚ UNIBANCO AÇÕES HOLDING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;ITAÚ INDEX ITAÚ UNIBANCO AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;ITAÚ UNIBANCO AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;SQUADRA LB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES ACCESS;SPX FALCON ARMATA ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;SPX FALCON SELEÇÃO AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;GUEPARDO INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES;ABSOLUTE PACE LONG BIASED ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;REAL INVESTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;XP INVESTOR DIVIDENDOS FUNDO DE INVESTIMENTO EM AÇÕES;ABSOLUTE PACE LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;PLURAL DIVIDENDOS FUNDO DE INVESTIMENTO EM AÇÕES;RPS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES SELECTION;XP INVESTOR IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;BB ACOES SETOR FINANCEIRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO
2023-08-31;196.0932851149248;195.2194280682013;191.87989440820334;180.8975858889512;179.9707354282384;179.70791755392105;179.15125343557742;178.47560014631026;177.76301131674023;177.37476809468998;177.2901411182775;175.7975609381516;169.3447233933403;169.2589318537845;171.42667074159047;172.58377231622558;169.24166116652535;153.55766904338816;134.72814353973936;129.0712961525839;154.31529477157963;146.500178343833;121.48667396164315;121.16449306582055;144.896507919623;114.17598203601275;113.12557291722314;109.32849799064843;129.88151170216008;129.62511862531656;128.63287698916815;122.20449713750523;128.53048597371287;120.33887403940969;118.41938575491547;127.95151542173883;117.86588522278134;112.55668759104667;112.5840678830404;104.77475172502733
2023-09-01;199.99816048515547;199.11284745001325;195.68481956272606;186.48007587842693;185.2036400715778;184.6001321253465;184.02405148720158;183.96470045528008;183.2343536752283;182.83554385763452;182.75389728635997;181.22319223412916;170.48270710842303;170.3908176842964;177.84561491109062;177.88789818418556;175.55680155412182;156.793362035177;139.07324169357815;128.9298886024377;158.37921968083032;150.82599477237693;125.79716223641132;125.46613602083863;147.01298404084352;115.16842506548035;114.10532997617074;110.26723974788008;131.62546197959685;131.15957333433536;130.0522756039428;124.49121837599526;130.73874465789905;122.18413247839841;119.8702534083066;130.13651273304686;120.02610067900932;114.31180338269743;114.63188169975535;105.48814720338073
2023-09-04;198.0745707654199;197.19971801480648;193.79248584435908;184.09567102711245;182.92341587558047;182.42001244400498;181.83956220229072;181.61064105258026;180.8867980502708;180.49307618159688;180.41499835892634;178.89931043281948;169.93350992490886;169.84801475084907;175.53797407675387;175.5977155314819;173.2873063352687;158.5438620638082;143.42010437535671;129.44272162359837;158.86381254105092;150.67862061121093;125.49439575385585;125.16403763713441;146.66004664590346;114.13735785665983;113.08076407599896;109.26772562029879;131.48929168907404;131.08860059972122;129.99021174039174;124.12899314903953;130.50255157580827;122.04530290934785;120.06858177679878;129.89734318914995;120.07059635100387;113.78348922865416;114.67866518953187;105.10214102699271
2023-09-05;204.18620805651716;203.25406020873135;199.75546841580726;191.95252012676792;190.373074722448;189.51040199762818;188.92638816889837;189.34602375125723;188.59683441015704;188.1937147167482;188.10590582697108;186.51768644717552;169.31444766929113;169.23071023600846;172.77112167756422;183.0743922735507;170.57192556020817;158.2355250085434;138.49146645225508;129.51375920748887;157.7691153403587;150.20592489920085;123.60553810125619;123.27773374242572;146.3394774071131;112.4426526162486;111.3990603828225;107.63323241119755;130.87045564512837;130.08817981659817;129.07052520703098;123.35716060922417;129.65752409980348;121.3568502816327;119.38868684439281;129.0408690233059;119.00579007206137;113.02815566412656;114.53753225383765;103.66634660603854
2023-09-06;205.03539294411866;204.0967355988516;200.57244871891427;192.82121147196008;191.21618809093812;190.33452140929816;189.74931288451572;190.19525852704032;189.44306601210045;189.0377178968167;188.94872189529596;187.35033864045278;168.16033631220327;168.07932891466425;170.92374896643156;183.88531854874623;168.75902386729794;157.07369445033174;137.72981315683518;129.77925374152392;156.98549910375365;149.5927700933374;122.16674291470304;121.84103079221582;146.13001146698883;111.35977143111649;110.32386773700496;106.58484703764334;129.65976598900048;129.0896486163988;128.15128743624112;122.34228705388344;128.07812841735557;120.40704303586071;118.07059716278336;127.5215374028672;117.31670498879893;111.84561987370162;113.3044084825856;102.40152873446632
2023-09-08;204.35543588322008;203.41634624579413;199.8964501713403;191.40780721517018;189.92915872403117;189.16627053651092;188.59246471503047;188.79825751478108;188.04877931719471;187.65050871070827;187.5605914612162;185.9670165498486;167.64930069713887;167.57012326754943;169.0764153870897;182.52123944387714;166.93873991109754;157.16574686833715;138.59816849473145;131.23039714643096;156.3064762672164;150.58897732961626;121.42862933175842;121.10346244815928;145.4935944491738;111.51841368946766;110.47862399461854;106.72519014525592;129.73323938284747;128.7100314070277;127.80357123758021;122.45515163405705;128.2410787404944;120.17024005946504;117.81850545965422;127.67921882749609;116.92386926308814;111.4858029216696;112.86373929464418;102.22366255359212
2023-09-11;204.18359202516035;203.24444202291016;199.7177748578923;190.18918033543608;188.88453547556915;188.2763543491317;187.71770068173598;187.59274827228472;186.84175474974566;186.45170217814035;186.3624319938377;184.77250709709583;170.28929467248543;170.20377830513286;169.52288955404237;181.3430318560767;167.34306833693557;160.56749746306954;140.83693926727332;134.11716727835125;157.55782113661837;152.35113102065202;124.25509958892893;123.92401005751572;147.1454246293512;114.33302368920302;113.26526848640958;109.40869534014182;130.84651369832085;129.7067540064287;128.72806700982542;124.6907098816225;129.20318616996613;121.4114311454066;119.22388213813745;128.60571130547558;118.66021656469394;112.78187006473996;114.08040546955472;104.29531292701503
2023-09-12;205.09095533921823;204.1447709315074;200.58969767972513;192.1271335273804;190.62059538609674;189.84446366149837;189.26603350971743;189.4939927255117;188.7312362463935;188.34296649839766;188.25110746115718;186.64239213772916;171.18991022664505;171.10197062051586;169.05293631261918;183.17106290675122;166.8814375211542;161.36132419936052;141.4534860885863;133.36554698483724;159.5127568898002;155.4664167949278;125.36412949546529;125.0310945125604;149.96708950506374;114.9984843141223;113.92210623654474;110.03390558206914;132.50059742533833;131.14452685545436;130.05737653849835;126.99162258732164;130.30902349100634;123.60102973868865;120.69508161658587;129.67500269276604;119.9647239938177;114.26964042611738;115.06093903523949;105.37613777745005
2023-09-13;202.2544309879243;201.31985971903782;197.81393560300754;189.78997140096723;188.24044627208605;187.42994243060892;186.88157161161593;187.18974418363635;186.42897820861626;186.0535252796914;185.95810237066618;184.36301973010362;171.03573766464666;170.94866891236765;169.500467037923;180.92956781182136;167.3259010145209;161.20177646558665;143.5617855893453;132.09607993415338;159.27808730129374;155.3556070368636;126.00231720598151;125.66802819214648;148.96240922066525;115.5756685252949;114.49144855867455;110.57457276090487;133.36706074896432;131.75702706195878;130.6255847469791;126.56106694400498;131.3554968185561;124.04871711673768;121.13711690223639;130.75007540858144;120.45273999858857;114.57509147110247;115.33205943766743;105.99412422656425
2023-09-14;207.0199731355443;206.05439779037468;202.4439516229254;194.98361126104928;193.26579056919;192.3240697488709;191.7210164418666;192.29200407292234;191.50855238522587;191.12805547682342;191.02434622366815;189.38945672218722;171.49131637878682;171.4034503695028;167.19411755268214;185.85451444309018;165.05489791869007;160.08863909252636;142.31914273669233;132.62828153559212;159.4888076674301;155.13385651463088;128.88629991412736;128.52536317264;150.3236107064908;115.12967403574595;114.04678502601664;110.13529053935444;134.23513418161866;132.1141960261963;130.95811781199228;127.72294714988914;132.25262153492412;124.80894830774254;121.68915776363873;131.64559912306854;121.8356159726992;115.36750394493001;116.66775338966944;106.45034701298506
2023-09-15;207.1326584977632;206.1633668320476;202.54180786177608;192.30476263961415;191.06019772543664;190.52198775396002;189.9669402087266;189.65323219392448;188.87756070586357;188.50033705445094;188.4030561219075;186.78143213073542;172.0551416258198;171.964474076578;164.43037613085986;183.29020988150552;162.24334278852564;159.7784053278928;143.31226057950752;132.14461876114623;159.8638815215294;155.24246485639236;127.523822896057;127.18520475645276;150.546817220267;114.87688765259882;113.79362934343156;109.88120153391068;134.78795575540215;131.92331035924428;130.78526942844627;127.93018473798674;131.20964492077437;124.17198188400374;121.54246732089844;130.60368093359494;121.70429046538204;114.02899552152334;116.1442627495476;105.93262632628434
2023-09-18;208.48957963844038;207.51019082925438;203.85534519381596;194.53410280406845;193.1023122136453;192.41433767581188;191.83198192470584;191.8399529168373;191.05493567082328;190.67203705745845;190.5723657253862;188.92988388288816;171.32664967636265;171.23954046431237;162.5834338694258;185.39408490902082;160.42567595918263;160.77430289590288;142.44328246704424;130.86119223898547;159.51780446133745;155.37045782035418;128.15845862175937;127.81419620407331;150.15099201842855;114.58302905391709;113.50035573375337;109.58835273021259;133.67290657555796;131.5203702977864;130.41753093974847;126.93850626714578;130.59025453986334;123.94350911872097;120.68524229307423;129.96255083337562;121.07555008548121;113.87535462312148;115.74700012523331;105.5678714922008
2023-09-19;208.9547356462619;207.96941750487582;204.2848000899014;194.5272404166904;193.16068615246078;192.5290595993044;191.95038097007992;191.82845415350727;191.04235055114168;190.66090317226113;190.5611206811123;188.9142037607815;171.06590099633948;170.97995690335947;157.98204398648073;185.3719328529919;155.90029033129176;159.95844039177157;142.1919929292667;130.36258496946874;158.66379014738828;156.13901155346258;126.40544272984513;126.07073347027931;149.86341737350716;114.24517187187222;113.1629172773027;109.25285823083115;132.86736528423705;131.17629884261424;130.1037785883261;126.38659498593682;129.929924223506;123.88748071070665;120.12940658524953;129.3145076778331;120.64774225801172;113.33401491728743;115.5442387711142;104.67558756467153
