CNPJ_FUNDO;retorno(%);Fundo de Investimento;Classe;PL
14.632.925/0001-60;56.04151054340723;MB FUNDO DE INVESTIMENTO EM AÇÕES INSTITUIÇÕES FINANCEIRAS;Fundo de Ações;36854484.6
49.920.157/0001-24;51.918391157344466;ITAÚ INDEX BITCOIN USD FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;Fundo de Ações;23753113.96
40.978.416/0001-01;20.83532971359887;ITAÚ INDEX BLOCKCHAIN AÇÕES FX INVESTIMENTO NO EXTERIOR FICFI;Fundo de Ações;7234687.74
42.730.726/0001-20;13.160470869689123;BTG PACTUAL REFERENCE GLOBAL TECH FUNDO DE INVESTIMENTO EM AÇÕES;Fundo de Ações;19343929.62
40.526.664/0001-03;8.927110364400171;ITAÚ INDEX CHINA TECH AÇÕES CNY HKD INVESTIMENTO NO EXTERIOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDO;Fundo de Ações;8738948.2
42.280.143/0001-44;8.793903366009758;M Global BDR Advisory Dolar FIC FIA BDR Nivel I;Fundo de Ações;5771038.65
33.913.562/0001-85;8.744113473791625;MS GLOBAL OPPORTUNITIES DÓLAR ADVISORY FIC FIA IE;Fundo de Ações;735427685.66
36.327.455/0001-63;8.13862145101849;TREND BOLSA AMERICANA ALAVANCADO FUNDO DE INVESTIMENTO EM AÇÕES;Fundo de Ações;45033014.22
40.755.318/0001-05;7.990988171190572;M GLOBAL OPPORTUNITY ADVISORY FIC FIA IE;Fundo de Ações;34698709.3
42.280.094/0001-40;7.9362403408562265;M Global BDR Advisory FIC FIA BDR Nivel I;Fundo de Ações;5313847.12
10.590.125/0001-72;7.780644391424074;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES CIELO;Fundo de Ações;15814691.27
40.021.803/0001-47;7.658362549276121;BB AÇÕES GAMES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I;Fundo de Ações;23190325.44
10.869.628/0001-81;7.499693037546495;BB AÇÕES CIELO FUNDO DE INVESTIMENTO;Fundo de Ações;42841731.98
36.249.317/0001-03;7.467601630769449;ITAÚ INDEX US TECH FICFI EM AÇÕES INVESTIMENTO NO EXTERIOR;Fundo de Ações;546741325.68
29.638.303/0001-16;7.313506507333534;PS DIVERSIFICACAO ACOES FUNDO DE INVESTIMENTO;Fundo de Ações;78387824.64
42.730.566/0001-19;7.142712670066564;VITREO BLOCKCHAIN AÇÕES FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;Fundo de Ações;2135483.51
06.028.596/0001-14;7.06496645906145;ITAÚ UNIBANCO AÇÕES HOLDING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;Fundo de Ações;33415432.42
36.347.678/0001-92;7.017828172347551;ITAÚ INDEX ITAÚ UNIBANCO AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;Fundo de Ações;65214858.92
08.749.127/0001-10;6.8581896726134906;ITAÚ UNIBANCO AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;Fundo de Ações;83081149.42
01.578.474/0001-88;6.542671658521204;BB AÇÕES TECNOLOGIA BDR NÍVEL I FUNDO DE INVESTIMENTO;Fundo de Ações;516537487.66
35.002.463/0001-77;6.4937286950742745;AXA WF FRAMLINGTON ROBOTECH ADVISORY FIC FIA IE;Fundo de Ações;67341061.55
18.799.585/0001-17;6.093591470217619;MB FUNDO DE INVESTIMENTO EM AÇÕES;Fundo de Ações;4585262.94
43.917.521/0001-10;6.085206961644007;NORD WM AT 30 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;Fundo de Ações;106046139.5
19.831.126/0001-36;6.0741539500446695;WESTERN ASSET FUNDO DE INVESTIMENTO AÇÕES BDR NÍVEL I;Fundo de Ações;1476120049.9
34.831.155/0001-91;5.9441217166327665;VERDE AM MUNDI AÇÕES GLOBAIS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - IE;Fundo de Ações;93086614.97
47.328.494/0001-00;5.919911473791695;NORD AT 45 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE ACOES;Fundo de Ações;7508920.49
36.017.669/0001-33;5.896306225773507;EMPIRICUS TECH SELECT FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I;Fundo de Ações;209902829.73
38.542.816/0001-10;5.863231074066788;WELLINGTON ALL-CHINA FOCUS EQUITY ADVISORY FUNDO DE INVESTIMENTO EM AÇÕES IE;Fundo de Ações;11022867.29
37.322.097/0001-69;5.755480982568306;PLURAL FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;Fundo de Ações;30600227.5
42.294.675/0001-30;5.735928411517488;CARTEIRA INTER GLOBAL FUNDO DE INVESTIMENTO EM ACOES BDR NIVEL 1;Fundo de Ações;4890720.1
28.320.600/0001-56;5.657717264301421;FRANKLIN CLEARBRIDGE AÇÕES EUA GROWTH FUNDO DE INVESTIMENTO EM AÇÕES INVESTIMENTO NO EXTERIOR;Fundo de Ações;147597368.59
35.578.709/0001-53;5.510715012504197;WELLINGTON VENTURA DOLAR ADVISORY FIC FIA IE;Fundo de Ações;93498529.52
36.249.300/0001-56;5.425708551298514;ITAÚ INDEX AÇÕES EUROPA EUR INVESTIMENTO NO EXTERIOR FICFI;Fundo de Ações;22348413.75
44.748.856/0001-15;5.325987883236816;WARREN GLOBAL FACTORS FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES-BDR NÍVEL I;Fundo de Ações;21667174.24
05.382.556/0001-03;5.28785000213341;TROPICO VALUE FUNDO DE INVESTIMENTO DE AÇÕES;Fundo de Ações;13734373.77
22.632.237/0001-28;5.214921963892349;BB AÇÕES GLOBAIS BDR NÍVEL I FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;Fundo de Ações;694190054.08
42.101.954/0001-30;5.192603058619261;Wellington US BDR Advisory FIC FIA BDR Nivel I;Fundo de Ações;8604792.77
41.249.600/0001-75;5.167833671529931;ITAÚ SELEÇÃO BLACKROCK GLOBAL UNCONSTRAINED AÇÕES USD INVESTIMENTO NO EXTERIOR FICFI;Fundo de Ações;18114219.21
17.503.172/0001-80;5.122118604238324;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA BDR NÍVEL I;Fundo de Ações;287172399.51
18.558.694/0001-42;5.091373306201774;CTM ESTRATEGIA FUNDO DE INVESTIMENTO EM AÇÕES - BDR NIVEL I;Fundo de Ações;47521850.26
