datetime,symbol,Open,High,Low,Close,Volume,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Variance(1M),Variance(3M),Variance(6M),Variance(12M)
2004-01-13 09:00:00,BMFBOVESPA:IBOV,24237.0,24518.0,23867.0,23940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-14 09:00:00,BMFBOVESPA:IBOV,23947.0,24010.0,22878.0,23399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-15 09:00:00,BMFBOVESPA:IBOV,23400.0,23400.0,22962.0,22962.0,0.0,-4.0852130325814535,-4.0852130325814535,-4.0852130325814535,-4.0852130325814535,2.1336152856426733,2.1336152856426733,2.1336152856426733,2.1336152856426733,4.552314187128067,4.552314187128067,4.552314187128067,4.552314187128067
2004-01-16 09:00:00,BMFBOVESPA:IBOV,22964.0,23243.0,22687.0,23155.0,0.0,-3.279030910609858,-3.279030910609858,-3.279030910609858,-3.279030910609858,1.8293682175671129,1.8293682175671129,1.8293682175671129,1.8293682175671129,3.3465880754446755,3.3465880754446755,3.3465880754446755,3.3465880754446755
2004-01-19 09:00:00,BMFBOVESPA:IBOV,23162.0,23493.0,23090.0,23385.0,0.0,-2.318295739348371,-2.318295739348371,-2.318295739348371,-2.318295739348371,1.5692113729856614,1.5692113729856614,1.5692113729856614,1.5692113729856614,2.4624243331075446,2.4624243331075446,2.4624243331075446,2.4624243331075446
2004-01-20 09:00:00,BMFBOVESPA:IBOV,23382.0,23724.0,23382.0,23679.0,0.0,-1.0902255639097744,-1.0902255639097744,-1.0902255639097744,-1.0902255639097744,1.486088484231112,1.486088484231112,1.486088484231112,1.486088484231112,2.208458982964324,2.208458982964324,2.208458982964324,2.208458982964324
2004-01-21 09:00:00,BMFBOVESPA:IBOV,23680.0,23680.0,23213.0,23302.0,0.0,-2.66499582289056,-2.66499582289056,-2.66499582289056,-2.66499582289056,1.3917788719139297,1.3917788719139297,1.3917788719139297,1.3917788719139297,1.9370484283060108,1.9370484283060108,1.9370484283060108,1.9370484283060108
2004-01-22 09:00:00,BMFBOVESPA:IBOV,23299.0,23299.0,22682.0,22969.0,0.0,-4.055973266499582,-4.055973266499582,-4.055973266499582,-4.055973266499582,1.4681246710462632,1.4681246710462632,1.4681246710462632,1.4681246710462632,2.1553900497346987,2.1553900497346987,2.1553900497346987,2.1553900497346987
2004-01-23 09:00:00,BMFBOVESPA:IBOV,22969.0,23515.0,22740.0,23471.0,0.0,-1.95906432748538,-1.95906432748538,-1.95906432748538,-1.95906432748538,1.355077986257341,1.355077986257341,1.355077986257341,1.355077986257341,1.8362363488392504,1.8362363488392504,1.8362363488392504,1.8362363488392504
2004-01-26 09:00:00,BMFBOVESPA:IBOV,23471.0,24350.0,23471.0,24350.0,0.0,1.7126148705096074,1.7126148705096074,1.7126148705096074,1.7126148705096074,1.7780162462026332,1.7780162462026332,1.7780162462026332,1.7780162462026332,3.161341771760503,3.161341771760503,3.161341771760503,3.161341771760503
