CNPJ_FUNDO;retorno(%);Fundo de Investimento;Classe;PL
42.730.726/0001-20;13.033445638986496;BTG PACTUAL REFERENCE GLOBAL TECH FUNDO DE INVESTIMENTO EM AÇÕES;Fundo de Ações;19343929.62
14.632.925/0001-60;10.851775978177326;MB FUNDO DE INVESTIMENTO EM AÇÕES INSTITUIÇÕES FINANCEIRAS;Fundo de Ações;36854484.6
42.730.566/0001-19;10.57874963175518;VITREO BLOCKCHAIN AÇÕES FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;Fundo de Ações;2135483.51
30.068.049/0001-47;10.312619874359207;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA SEGURIDADE;Fundo de Ações;487590702.14
10.590.125/0001-72;9.164773383649738;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES CIELO;Fundo de Ações;15814691.27
10.869.628/0001-81;9.096615955235654;BB AÇÕES CIELO FUNDO DE INVESTIMENTO;Fundo de Ações;42841731.98
42.280.143/0001-44;7.71225809468461;M Global BDR Advisory Dolar FIC FIA BDR Nivel I;Fundo de Ações;5771038.65
42.280.094/0001-40;7.490216557274643;M Global BDR Advisory FIC FIA BDR Nivel I;Fundo de Ações;5313847.12
36.017.669/0001-33;7.306791100591048;EMPIRICUS TECH SELECT FUNDO DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I;Fundo de Ações;209902829.73
40.021.803/0001-47;7.001443589831036;BB AÇÕES GAMES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I;Fundo de Ações;23190325.44
52.805.557/0001-01;6.922975465375014;CTM ESTRATÉGIA II FUNDO DE INVESTIMENTO FINANCEIRO VEÍCULO DE PROPÓSITO ESPECÍFICO;Fundo de Ações;31798565.3
03.917.778/0001-58;6.80518234771621;ITAÚ AÇÕES PETROBRÁS - FUNDO DE INVESTIMENTO;Fundo de Ações;383436420.34
35.939.847/0001-10;6.7851649781241585;IP ATLAS USD FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;Fundo de Ações;63732438.55
08.336.054/0001-34;6.7827863301482605;SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS;Fundo de Ações;192420732.71
11.060.594/0001-42;6.765118573412976;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA PETROBRAS PRÉ-SAL;Fundo de Ações;134427132.17
