CNPJ_FUNDO;retorno(%);Fundo de Investimento;Classe;PL
03.914.671/0001-56;6.7367095667762555;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA PETROBRAS;Fundo de Ações;904205777.96
30.068.205/0001-70;6.7307617050918145;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA PETROBRAS PLUS;Fundo de Ações;80851068.25
03.917.096/0001-45;6.729873497166472;SANTANDER FI PETROBRÁS AÇÕES;Fundo de Ações;108888380.01
03.916.081/0001-62;6.725462790368253;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS;Fundo de Ações;290561843.56
03.922.006/0001-04;6.716636190409475;BRADESCO H FUNDO DE INVESTIMENTO AÇÕES PETROBRAS;Fundo de Ações;52484624.81
08.828.888/0001-67;6.6920042218952425;SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO PETROBRÁS 2 AÇÕES;Fundo de Ações;124493627.66
11.504.894/0001-73;6.667253212986579;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES - PETROBRAS 2010;Fundo de Ações;16601438.96
03.920.413/0001-82;6.624844214448533;BB AÇÕES PETROBRAS FUNDO DE INVESTIMENTO;Fundo de Ações;749228991.86
30.518.554/0001-46;6.597674974892853;BB AÇÕES PETROBRAS I FUNDO DE INVESTIMENTO;Fundo de Ações;731394245.2
29.197.177/0001-01;6.582452519726489;ITAÚ AÇÕES PETROBRAS I - FUNDO DE INVESTIMENTO;Fundo de Ações;91667830.18
19.831.126/0001-36;6.479546500163869;WESTERN ASSET FUNDO DE INVESTIMENTO AÇÕES BDR NÍVEL I;Fundo de Ações;1476120049.9
41.249.600/0001-75;6.43438324009844;ITAÚ SELEÇÃO BLACKROCK GLOBAL UNCONSTRAINED AÇÕES USD INVESTIMENTO NO EXTERIOR FICFI;Fundo de Ações;18114219.21
39.846.774/0001-73;6.235860542769411;EMPIRICUS MONEY RIDER AÇÕES DINÂMICO FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;Fundo de Ações;27977998.25
28.320.600/0001-56;5.686586175828379;FRANKLIN CLEARBRIDGE AÇÕES EUA GROWTH FUNDO DE INVESTIMENTO EM AÇÕES INVESTIMENTO NO EXTERIOR;Fundo de Ações;147597368.59
01.578.474/0001-88;5.656454304172409;BB AÇÕES TECNOLOGIA BDR NÍVEL I FUNDO DE INVESTIMENTO;Fundo de Ações;516537487.66
33.913.562/0001-85;5.640521848086277;MS GLOBAL OPPORTUNITIES DÓLAR ADVISORY FIC FIA IE;Fundo de Ações;735427685.66
44.431.925/0001-62;5.401091209058739;TREND METAVERSO FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;Fundo de Ações;23206344.83
36.249.317/0001-03;5.350801152835705;ITAÚ INDEX US TECH FICFI EM AÇÕES INVESTIMENTO NO EXTERIOR;Fundo de Ações;546741325.68
40.755.318/0001-05;5.275577747143978;M GLOBAL OPPORTUNITY ADVISORY FIC FIA IE;Fundo de Ações;34698709.3
37.322.097/0001-69;4.89649028924517;PLURAL FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;Fundo de Ações;30600227.5
44.748.856/0001-15;4.670554970969287;WARREN GLOBAL FACTORS FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES-BDR NÍVEL I;Fundo de Ações;21667174.24
42.101.954/0001-30;4.61875057542509;Wellington US BDR Advisory FIC FIA BDR Nivel I;Fundo de Ações;8604792.77
35.002.482/0001-01;4.537866890463249;AXA WF FRAMLINGTON DIGITAL ECONOMY ADVISORY FIC FIA IE;Fundo de Ações;236302586.76
37.331.214/0001-50;4.500434120568264;MORGAN STANLEY GLOBAL BRANDS DÓLAR ADVISORY FIC FIA IE;Fundo de Ações;56781552.13
36.327.455/0001-63;4.473076940698184;TREND BOLSA AMERICANA ALAVANCADO FUNDO DE INVESTIMENTO EM AÇÕES;Fundo de Ações;45033014.22
