Date,Selic anualizada base 252 - %a.a.,Selic %a.d.,Retorno Selic(1M),Retorno Selic(3M),Retorno Selic(6M),Retorno Selic(12M)
2004-11-26,17.22,0.0630684214613541,1.2477257878903192,3.81321959939791,7.692682055315836,16.12164101513345
2004-11-29,17.22,0.0630684214613541,1.249374400060943,3.817956118915067,7.697964541862445,16.121208800874065
2004-11-30,17.21,0.0630345456262171,1.250988761064753,3.8225510590752076,7.7032108251447795,16.12077655136548
2004-12-01,17.23,0.0631022944181269,1.2526717020111544,3.827216499931141,7.708641051958032,16.120462202511355
2004-12-02,17.23,0.0631022944181269,1.2543890910327926,3.8318466044580557,7.714034626571387,16.12003002949056
2004-12-03,17.23,0.0631022944181269,1.2561065091837298,3.8364769154613843,7.719317706987705,16.11963712957745
2004-12-06,17.24,0.0631361644970462,1.2578582309414443,3.841142581835566,7.724526768978346,16.119283535870863
2004-12-07,17.24,0.0631361644970462,1.2595755611268578,3.8458084578512963,7.729662267999182,16.11892994324098
2004-12-08,17.24,0.0631361644970462,1.2612929204380396,3.850438994241623,7.7348718302293396,16.11861562618868
2004-12-09,17.24,0.0631361644970462,1.2630103088756783,3.855069737109962,7.740192401316759,16.118301309987217
2004-12-10,17.24,0.0631361644970462,1.264727726440107,3.85966513709719,7.745476311162425,16.118026272285533
2004-12-13,17.24,0.0631361644970462,1.2664451731319026,3.864225192559889,7.750686638123527,16.117790516153164
2004-12-14,17.24,0.0631361644970462,1.2681626489515319,3.868714358622416,7.755971062638745,16.117594044699636
2004-12-15,17.25,0.0631700316986005,1.2699144295336362,3.8732388754641134,7.76132914843517,16.117436874478443
2004-12-16,17.74,0.064826009970309,1.271624654827752,3.8785950215172837,7.76847096697133,16.119201367476265
2004-12-17,17.74,0.064826009970309,1.2733349090038093,3.8839159748095486,7.775539393393971,16.121044468058223
2004-12-20,17.74,0.064826009970309,1.275079472368379,3.8892017329561934,7.782571353091394,16.126715066253382
2004-12-21,17.74,0.064826009970309,1.2768240657852203,3.8944877600495476,7.78971457944222,16.13222746732945
2004-12-22,17.74,0.064826009970309,1.2785344077678396,3.899774056103489,7.7968582792059316,16.137740130073077
2004-12-23,17.74,0.064826009970309,1.2802790607004066,3.9050606211313843,7.803965508367772,16.143253054496153
2004-12-24,17.74,0.064826009970309,1.2820580292795647,3.9103474551469786,7.811036262841986,16.1487662406117
2004-12-27,17.74,0.064826009970309,1.283837029106083,3.9156345581642826,7.818107481079828,16.15427968843153
2004-12-28,17.74,0.064826009970309,1.2856503499142802,3.9209219301965748,7.825216111237365,16.159793397968556
2004-12-29,17.74,0.064826009970309,1.287395125428037,3.92624505159187,7.832325210079083,16.165346993898268
2004-12-30,17.75,0.0648597339254708,1.2891740675726515,3.9315679906177126,7.839434168787385,16.17094000738717
2004-12-31,17.75,0.0648597339254708,1.2909530409613845,3.936926686257136,7.846580551607674,16.176493661683878
2005-01-03,17.74,0.064826009970309,1.2926636215511378,3.9422861163248113,7.8536910590430775,16.182008425692416
2005-01-04,17.74,0.064826009970309,1.2943742310289164,3.9477168133334795,7.860838998810404,16.187523451480466
2005-01-05,17.74,0.064826009970309,1.2960848693950977,3.9530767997859595,7.868061353867795,16.1930783731832
2005-01-06,17.74,0.064826009970309,1.2977955366500815,3.958401568243919,7.875284192533583,16.198633560466558
2005-01-07,17.74,0.064826009970309,1.2995062327946005,3.9636911163213107,7.882470537503661,16.20422865467681
2005-01-10,17.74,0.064826009970309,1.3012169578288768,3.9689809335381465,7.889657361207436,16.209824018296935
2005-01-11,17.74,0.064826009970309,1.3029277117536653,3.9742710199082154,7.896918631411376,16.215419651340433
2005-01-12,17.74,0.064826009970309,1.3046042071824138,3.9795613754452175,7.9041434023586765,16.22105520430197
2005-01-13,17.74,0.064826009970309,1.3046042071824138,3.984852000162986,7.911405647512804,16.22669103054455
2005-01-14,17.74,0.064826009970309,1.3046042071824138,3.9901428940750883,7.918668381436,16.23236678783224
2005-01-17,17.74,0.064826009970309,1.3046042071824138,3.9954340571951574,7.925931604161218,16.238042822287113
2005-01-18,17.74,0.064826009970309,1.3046042071824138,4.000725489537049,7.933232316835981,16.243719133922507
2005-01-19,17.75,0.0648597339254708,1.304638348968945,4.004280762741952,7.940569901606276,16.24951423867047
2005-01-20,18.24,0.0665087228096661,1.3063419107741892,4.009550123467376,7.9496868804217025,16.257027095845466
2005-01-21,18.24,0.0665087228096661,1.3080455012268954,4.014819751164134,7.958804629283955,16.264540438553986
2005-01-24,18.24,0.0665087228096661,1.3097491203275302,4.02008964584577,7.967923148258271,16.272054266827162
2005-01-25,18.24,0.0665087228096661,1.3114527680766708,4.025359807525786,7.977005421275862,16.279608247744992
2005-01-26,18.24,0.0665087228096661,1.3131564444746724,4.0306302362177915,7.986014429431454,16.28716271943098
2005-01-27,18.24,0.0665087228096661,1.3148260042906479,4.035900931935066,7.994876157679731,16.294797036595487
2005-01-28,18.24,0.0665087228096661,1.3164955916196153,4.041171894691464,8.003738613153843,16.30247154003972
2005-01-31,18.24,0.0665087228096661,1.3181993528189384,4.046478493736716,8.012601795913454,16.310146549938143
2005-02-01,18.24,0.0665087228096661,1.3199031426690322,4.051785363444083,8.021428697036326,16.31782206632444
2005-02-02,18.25,0.0665423047274682,1.3216409642942128,4.0571274249688205,8.03025556521073,16.325576823980946
2005-02-03,18.25,0.0665423047274682,1.3233788157262172,4.0624343860848455,8.039009140616082,16.333332098637122
2005-02-04,18.25,0.0665423047274682,1.325116696965556,4.0677416178582115,8.047763425314326,16.341127595428205
2005-02-09,18.25,0.0665423047274682,1.3268546080127397,4.0730491203029295,8.056481411151783,16.34892361459579
2005-02-10,18.25,0.0665423047274682,1.3285925488682127,4.078356893432722,8.065163092422289,16.356759870026316
2005-02-11,18.26,0.0665758838167773,1.3303645227082717,4.083699864366963,8.073881737293664,16.364595984887174
2005-02-14,18.26,0.0665758838167773,1.3321365275355657,4.089043109587931,8.082601085581098,16.372353199335432
2005-02-15,18.26,0.0665758838167773,1.333908563350672,4.094386629110058,8.091321137341701,16.379991806462012
2005-02-16,18.26,0.0665758838167773,1.3356806301540125,4.097964924639164,8.10004189263125,16.38759121108326
2005-02-17,18.75,0.0682178041668146,1.3391155011987177,4.103251470398028,8.110574253846647,16.39710095676532
2005-02-18,18.75,0.0682178041668146,1.3425163341080681,4.108573524037795,8.121144671591395,16.40661147946547
2005-02-21,18.75,0.0682178041668146,1.3442472089788549,4.113895849755944,8.131753160024191,16.416122779247246
2005-02-22,18.75,0.0682178041668146,1.3459781134119497,4.119183204556154,8.142399733345517,16.42567457305062
2005-02-23,18.75,0.0682178041668146,1.347709047408019,4.124506072671319,8.15308440579734,16.435227150566224
2005-02-24,18.75,0.0682178041668146,1.3494400109675064,4.1298644625272996,8.163733079377277,16.44482023868168
2005-02-25,18.75,0.0682178041668146,1.3511710040908786,4.135223128133325,8.174308694680231,16.454453850696282
2005-02-28,18.74,0.0681843630925493,1.352868156385112,4.140582523771963,8.184775089364727,16.46408907964918
2005-03-01,18.74,0.0681843630925493,1.35456533709859,4.1458716821134445,8.195131358371155,16.473725105803382
2005-03-02,18.74,0.0681843630925493,1.3562625462317568,4.151161109084089,8.205488618758118,16.483401679462784
2005-03-03,18.74,0.0681843630925493,1.3579597837851676,4.156450804697576,8.215809823828746,16.49311881401916
2005-03-04,18.74,0.0681843630925493,1.359623033877555,4.161705511563696,8.226132013389776,16.50271748861607
2005-03-07,18.75,0.0682178041668146,1.361320184470105,4.166995294345877,8.236491358305864,16.512395647249043
2005-03-08,18.75,0.0682178041668146,1.3630173634794351,4.172285345766058,8.246851694812563,16.52207460987034
2005-03-09,18.75,0.0682178041668146,1.364714570906167,4.1775756658377405,8.257175965248486,16.531794143297752
2005-03-10,18.75,0.0682178041668146,1.3664118067506337,4.1828662545750905,8.267501220383355,16.541554260970194
2005-03-11,18.75,0.0682178041668146,1.368075055171869,4.1881571119912975,8.277790398694961,16.551354976370437
2005-03-14,18.75,0.0682178041668146,1.3697383308841626,4.1934482381002836,8.288043492907793,16.56119630302446
2005-03-15,18.75,0.0682178041668146,1.3714016338878698,4.198704365996342,8.298223436762452,16.571078254503703
2005-03-16,18.75,0.0682178041668146,1.3730649641835457,4.2022362820036685,8.308404337613595,16.581000844423
2005-03-17,19.24,0.069852990140018,1.374721472289031,4.207471114225081,8.3194305749819,16.593666151516583
2005-03-18,19.24,0.069852990140018,1.376378007462975,4.212706209429995,8.330420947755336,16.606213200838617
2005-03-21,19.24,0.069852990140018,1.3780345697059548,4.217941567631667,8.341375447972045,16.618602119888592
2005-03-22,19.24,0.069852990140018,1.379691159018348,4.223177188843219,8.352331055920704,16.630872768327375
2005-03-23,19.24,0.069852990140018,1.38134777540051,4.228413073077886,8.363287771713669,16.64318457092866
2005-03-24,19.24,0.069852990140018,1.3830044188529733,4.233649220349012,8.374245595462494,16.655537543886755
2005-03-28,19.25,0.0698862915495146,1.3846948283296578,4.238920319456518,8.3852405958851,16.667890775072824
2005-03-29,19.25,0.0698862915495146,1.38641914758586,4.244191685123866,8.396236711794657,16.680325076162084
2005-03-30,19.25,0.0698862915495146,1.3881434961687589,4.249463317364155,8.407233943303982,16.69284048653912
2005-03-31,19.25,0.0698862915495146,1.3898678740787096,4.254700080160179,8.41826930443399,16.70519766791849
2005-04-01,19.24,0.069852990140018,1.3915585400677388,4.259902410233485,8.429232687980237,16.71755720830761
2005-04-04,19.24,0.069852990140018,1.3932492342482616,4.265140139441814,8.44023420156339,16.729878161502864
2005-04-05,19.24,0.069852990140018,1.3949060721790252,4.270378131778996,8.451273859749842,16.742200415323726
2005-04-06,19.24,0.069852990140018,1.3965629371837762,4.275616387258574,8.462388715677394,16.754563874450113
2005-04-07,19.24,0.069852990140018,1.39821982926287,4.280854905893583,8.473430629283673,16.766928642915026
2005-04-08,19.24,0.069852990140018,1.3998767484167063,4.286093687697301,8.484436627305247,16.7793346373037
2005-04-11,19.24,0.069852990140018,1.401533694645818,4.291332732682962,8.49540670176976,16.79174194977715
