;SICREDI - FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA PETROBRAS PRÉ-SAL;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES - PETROBRAS 2010;ITAÚ AÇÕES PETROBRÁS - FUNDO DE INVESTIMENTO;SANTANDER FI PETROBRÁS AÇÕES;BB AÇÕES PETROBRAS FUNDO DE INVESTIMENTO;BB AÇÕES PETROBRAS I FUNDO DE INVESTIMENTO;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES PETROBRAS;BRADESCO H FUNDO DE INVESTIMENTO AÇÕES PETROBRAS;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA PETROBRAS;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA PETROBRAS PLUS;SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO PETROBRÁS 2 AÇÕES;CAIXA FUNDO DE INVESTIMENTO EM AÇÕES BANCO DO BRASIL PLUS;BB AÇÕES BB FUNDO DE INVESTIMENTO;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES CIELO;ITAÚ AÇÕES PETROBRAS I - FUNDO DE INVESTIMENTO;BB AÇÕES CIELO FUNDO DE INVESTIMENTO;BB AÇÕES BB SEGURIDADE FUNDO DE INVESTIMENTO EM AÇÕES;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA SEGURIDADE;MB FUNDO DE INVESTIMENTO EM AÇÕES INSTITUIÇÕES FINANCEIRAS;ORGANON FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;TARPON GT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;ALASKA BLACK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES II - BDR NÍVEL I;ALASKA BLACK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES - BDR NÍVEL I;CHARLES RIVER FUNDO DE INVESTIMENTO DE AÇÕES;ITAÚ UNIBANCO AÇÕES HOLDING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;ITAÚ INDEX ITAÚ UNIBANCO AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;ITAÚ UNIBANCO AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;SQUADRA LB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES ACCESS;SPX FALCON ARMATA ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;SPX FALCON SELEÇÃO AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;GUEPARDO INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES;ABSOLUTE PACE LONG BIASED ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;REAL INVESTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;XP INVESTOR DIVIDENDOS FUNDO DE INVESTIMENTO EM AÇÕES;ABSOLUTE PACE LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;PLURAL DIVIDENDOS FUNDO DE INVESTIMENTO EM AÇÕES;RPS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES SELECTION;XP INVESTOR IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;BB ACOES SETOR FINANCEIRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO
2022-01-03;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
2022-01-04;100.37560947553547;100.37475250706717;100.37047468484117;101.26566662516632;101.09683807288634;100.9884790520498;100.98853786400592;101.20203015142812;101.25897262974593;101.25655445583308;101.25557007133573;101.259567069702;100.09777486219562;100.09647086407747;96.74394613709298;101.25597161759295;96.93833698276674;99.75307083984244;99.25691770607324;101.28013093439812;98.30437455786098;99.022099598409;99.29538900784726;99.29502270642236;98.6995615682035;102.7676456504022;102.76633765230983;102.76288808508336;98.8783133044087;99.24199377085537;99.25451928562758;98.4081729063966;99.22323910115011;98.72923792640722;98.73352866633972;99.22809354321012;100.08411093009188;99.32708006306876;99.62917406113431;100.18965184143993
2022-01-05;96.49716880650946;96.50088158526549;96.49189259076729;97.11290771009631;96.98710565937945;96.92963236826817;96.91768285515663;97.07047846889127;97.10943371467636;97.11585159853196;97.10994948939666;97.09695230168003;98.43001165557678;98.45216826864355;96.30255749858782;97.09258905956618;96.495669767244;98.5420101329995;97.27634800195119;102.43155820648857;94.7010138394695;97.04701260059345;94.82572419140985;94.81586715373922;96.07384630711138;100.84711936888995;100.83788132374197;100.83535941012826;95.62973637812813;96.89256520028684;96.94450290661077;95.19462060653214;96.8663750517845;95.78475532798215;96.67442281555118;96.86482246623753;98.6049292236552;96.49590787205851;97.22325785596003;98.35013977775584
2022-01-06;96.42793688092614;96.43049339787791;96.4173081360044;97.0161063896166;96.89101781216888;96.84138355058927;96.82348041899095;96.97178513265476;97.00850160775963;97.01540796739815;97.00954268825063;96.99391097185197;99.21923571033881;99.2340851637608;94.1128282585225;96.98586596725592;94.31704005514086;99.2089109360626;97.89377335404619;103.35439581421826;93.9855570314308;96.4412763277065;94.73828318120232;94.72841332822364;96.4858296194825;102.8513876124242;102.84059420463328;102.82708389992472;95.06955679816852;96.51053747038193;96.56895956884713;95.74284837972871;97.21053274809482;95.55598855686023;96.63959582306434;97.20962171166525;98.75692235901639;97.20428476036317;97.72742192566214;99.61173381497451
2022-01-07;96.87393200503638;96.87254633836491;96.85690781201981;97.8064487389305;97.6138197683228;97.52061863717238;97.50276786124087;97.73425120667865;97.79318036947508;97.80098601975273;97.79282891715872;97.77747456800896;99.31715218106139;99.33174068985089;93.67086718454358;97.76645282221362;93.87746098999058;96.12956550563943;99.00639914903316;103.96389107769511;94.89995737856938;96.83530862225001;96.86005446787085;96.85029207249326;96.6872097626875;105.08599285988929;105.07346261434263;105.0508633084456;95.2736411235582;97.55295594932863;97.5949305453447;95.90722121097753;97.58212776421772;95.72249068724496;96.02604801556852;97.57973304190577;99.83848506428893;98.73363935434926;98.57720294668381;101.29177165289549
2022-01-10;96.29120788729477;96.28833068458657;96.26811806576707;97.45616935398111;97.21544479735465;97.09386667771577;97.07591831982707;97.36522903915004;97.43920843571507;97.4473321806385;97.43978825644639;97.4205597197994;99.8288864103214;99.84220763877225;91.91815154043408;97.40629611000945;92.13691336942404;93.76900416859992;98.0137382295304;103.07431013985932;93.72528732921874;95.9093955574501;95.0195699528829;95.00896121441524;96.01107212952141;106.03570480297537;106.02135364523045;105.98898176629288;95.06457044466859;97.17965763554155;97.2282206006579;94.71448945494538;97.00174106469667;95.26448385506598;95.49827745667699;97.00073412824345;99.6833925168608;98.07467565384897;98.37050949183566;101.05622852856382
2022-01-11;99.13233194165853;99.13070273499383;99.10706734615123;101.47813417417284;101.01882869384553;100.75334524188355;100.73330131681908;101.29871435679094;101.45024251000747;101.458691038728;101.4529882745552;101.42938301539508;100.2377602686303;100.24947675419769;94.9716450221318;101.41804117453215;95.18978188077483;93.8618240919824;97.51786723999844;104.45058171946326;95.64253030914918;96.84211146293754;99.43125221536411;99.42314682473959;97.24897090230625;108.36625455250513;108.35081784260585;108.3073926887621;98.18720956615729;98.4412782365931;98.46927628963536;96.22118290201703;98.68118011268805;96.5672345141074;97.19115350615806;98.67508302999222;100.85293279580382;100.46053482591412;100.39637492378392;102.30277899363998
2022-01-12;102.14479667939722;102.1433423613378;102.11604294411238;104.83266878580537;104.31175486059263;103.99732386540425;103.97704438317274;104.62220158764353;104.7955064804279;104.80668685324177;104.80642991572941;104.78246356415693;101.19960078584486;101.20713489492776;92.78203844681083;104.7635024239773;93.00075342604902;92.9933522101212;98.25968774007391;103.56259015328699;97.06292521185314;98.37577763449387;103.86921611503882;103.86249445388766;98.69111889938318;107.92627986871375;107.907129320908;107.85526670837169;100.48149071247138;100.31170035827654;100.30889646814836;98.52487659367836;100.46376318377163;98.84767948210512;99.5729649076194;100.45350574496035;102.06868988156792;102.59586696825936;102.22576677996442;102.66021069245332
2022-01-13;104.1987996324153;104.19266576512653;104.1655001824406;107.36469955420202;106.7541516316101;106.37788186931574;106.3549422415366;107.1140229775786;107.31769318448477;107.33226276165733;107.329615640825;107.3106722611586;102.81863721534347;102.81965355902915;92.34009781695597;107.28461868045962;92.55877881774029;93.13237370458029;100.23848720106636;103.89816114670094;96.36162675209165;97.27276377385608;103.83075044240009;103.82364471842662;99.12712596577083;109.87746039728432;109.85731948548667;109.79455052052118;100.02940005829824;100.11943323165995;100.12026388380349;98.55084528701454;99.79455400803599;98.85882727613357;99.46202509434993;99.7883081563938;102.44691977380187;102.24907966451893;102.54341841284065;103.33962890791449
2022-01-14;108.06777977291142;108.06332290218626;108.02644129662401;109.61139696281484;109.30835830409306;109.10684007866986;109.08356646057436;109.45897635616855;109.55492863048195;109.57230338292439;109.57090240006207;109.55346058253987;105.43979850170172;105.42137939803867;92.33322859127105;109.52054904515143;92.5532317511846;94.42343338928649;101.47557694794995;104.24242466365673;97.64253496400632;97.83739955092243;106.10743090119554;106.09846465213053;99.75287913384253;109.07009510409324;109.04620546077115;108.97502065260585;100.8289731746324;101.3207757093461;101.30158405241798;99.5249760506563;100.56603666457778;100.0148524781415;100.3619734470855;100.55636027070041;103.30924734487088;103.78210511227567;103.63851858597415;105.34610366926825
2022-01-17;108.237787265274;108.23510284741329;108.18805975813166;109.25928629738885;109.04997945712492;108.90936027560181;108.88547827186947;109.13874049618254;109.2006980242481;109.21780210254546;109.21721499666926;109.19531876720126;105.64111414290784;105.62127165654023;96.69580022492626;109.15913971449291;96.92351540248504;95.46706433272291;101.1038970269863;102.04753186023912;96.63812526618646;98.58273004407569;104.82007917081584;104.81097129177503;99.77016630740981;109.06569881512773;109.03944228537901;108.95859537493328;100.07509480749803;100.82992550357963;100.81953546122806;97.62628169957634;100.31893383294953;99.5379409582511;99.98589184145172;100.31037483028594;103.3524104686555;103.51241972192409;103.21651413282116;105.57688564908958
2022-01-18;108.71586443464282;108.71004981996504;108.65680478756867;109.63601107483716;109.44315124153647;109.31001462075149;109.28663623978355;109.51784098687418;109.57306156221;109.59156738280696;109.59135563733258;109.56690831615823;106.5695804580902;106.54162565099155;93.63206423707334;109.52572653476274;93.86159675217188;98.51941683765315;97.6370904325904;103.79895360796274;96.8463174377299;97.50116491141043;105.14908550217885;105.13961542834194;99.16356960426374;109.70306593609598;109.6744196987948;109.58400590714261;99.27843579385865;100.32128071880375;100.3199562286553;98.01275891706428;99.63573966701918;99.3269107431344;100.19125124077368;99.63086298854473;103.97120554731755;103.6977244202673;103.70003316293025;105.42542665966104
2022-01-19;108.20036390986978;108.19508807660657;108.1332182472766;108.6187720104633;108.51466095888516;108.4397308587794;108.41916781691032;108.53334417211344;108.55470713116047;108.57342349060008;108.57039147334449;108.5431384634579;107.49656824880016;107.46444034472485;94.93715578483868;108.4992924311654;95.16563076356653;100.29026851709692;97.88353206605927;104.07367233371178;96.95941993487223;97.9168393168588;108.71191423754622;108.69914518604635;100.39051869091126;108.98619066372997;108.95447016488309;108.8550012337575;101.74386381038192;101.38093226922447;101.36168796451395;99.22542156479746;101.55929493733484;100.85386572524864;101.81301548376862;101.54786979718946;105.08708534947549;105.60963092187374;104.84590271305217;105.84973398672545
2022-01-20;108.98792940821957;108.98000773828956;108.91084618370445;109.31236623982778;109.22408969780535;109.15681632277152;109.13388612196053;109.22845082134478;109.24294465505282;109.26276890862059;109.25933411373616;109.23186586869245;108.14700803021324;108.11069408872251;97.55214324952401;109.18275317827846;97.79888078570801;99.66127091501863;101.59357566406885;105.34934722784467;99.18557166158358;100.51727108708202;112.11823417895523;112.10173331910744;101.64241177699087;108.12999646286734;108.09514905623433;107.98678063015088;104.52189409875585;103.76116850065446;103.69516128670584;101.20223833694637;102.94055735204462;102.04227242212846;103.22303862290931;102.92233408474911;105.43745101912737;107.63864115481563;105.73445198788764;108.0895445415913
2022-01-21;109.15845821245236;109.14914103725847;109.07482759133897;109.68910047514812;109.55886502601314;109.46469551457807;109.44196111224922;109.58693911751767;109.61512888246625;109.63526739523901;109.63201958336835;109.60326740585731;108.14060487502708;108.10457358104829;94.48963390911483;109.54948774328903;94.7276610735098;99.99114804887226;102.95449380125112;103.70863467510839;99.76045704968057;99.03422002822172;109.88129759529;109.86700876536078;100.48826219429408;108.17396247710604;108.13622107661449;108.01885992083847;105.04999426488399;103.49964491884305;103.43996992642094;101.38947542278684;102.47669744135233;102.08698232158287;103.32483737031839;102.46103277932662;105.1898333999961;107.6103720847303;105.19681706577535;108.32681245672234
2022-01-24;109.77383696390018;109.7634780460693;109.68381171001333;109.87571611312717;109.82364616980766;109.77366456160966;109.75882385207922;109.79937067741368;109.79781022056478;109.81855059412185;109.81553281895731;109.78453468249725;108.65300651662724;108.61276795931781;93.61039346556728;109.72628680851446;93.85225201428324;101.45786195809035;101.84343766848578;103.99115895098836;98.47645577997875;97.68001145180169;107.72798983896293;107.71527767164515;98.59495393917975;108.03046077284884;107.99017281210412;107.86346339000816;103.82393412444206;102.39647942879517;102.36033388463956;100.0999511231182;102.04469315070514;101.49049387997842;102.58386586691681;102.03232089674583;104.84412701045143;106.40517835105247;104.59952294020718;107.55494356408579
